Site (House Number),Tradition,Variant,Mean Date,Precision,Date Range - Early,Date Range - Late,Tip Date (BP) - Mean,Tip Date (BP) - Early,Tip Date (BP) - Late,Citation,,,
Red Willow (1),Central Plains,Upper Republican,1185,130,1120,1250,765,830,700,Wedel,,,
Owens (3) (Med. Creek),Central Plains,Upper Republican,1185,130,1120,1250,765,830,700,Wedel,,,
Holdredge (2) (Med. Creek),Central Plains,Upper Republican,1185,130,1120,1250,765,830,700,Wedel,,,
Mowry Bluff (1),Central Plains,Upper Republican,1185,130,1120,1250,765,830,700,Wedel,,,
Theodore Davis B,Central Plains,Nebraska,1275,350,1100,1450,675,850,500,Wedel,,,
Theodore Davis C,Central Plains,Nebraska,1275,350,1100,1450,675,850,500,Wedel,,,
Patterson Site (4),Central Plains,Nebraska,1275,350,1100,1450,675,850,500,Wedel,,,
Little Pawnee Creek (1),Central Plains,Nebraska,1275,350,1100,1450,675,850,500,Wedel,,,
Sweetwater Site (2),Central Plains,Loup River,1625,250,1500,1750,325,450,200,Wedel,,,
Dodd-(17),Middle Missouri,Initial,1185,270,1050,1320,765,900,630,Johnson,,,
Dodd-(29),Middle Missouri,Initial,1185,270,1050,1320,765,900,630,Johnson,,,
Dodd(76),Middle Missouri,Initial,1185,270,1050,1320,765,900,630,Johnson,,,
Breeden (2),Middle Missouri,Initial,1150,500,900,1400,800,1050,550,Johnson,,,
Swanson-(3),Middle Missouri,Initial,1050,346,877,1222,900,1073,728,Johnson,,,
Swanson-(4),Middle Missouri,Initial,1050,346,877,1222,900,1073,728,Johnson,,,
Pretty Head (7),Middle Missouri,Initial,1044,282,903,1185,906,1047,765,Johnson,,,
Langdeau (4),Middle Missouri,Initial,1206,116,1148,1263,744,802,687,Johnson,,,
Jiggs Thompson (4),Middle Missouri,Initial,1259,262,1128,1389,691,822,561,Johnson,,,
Mitchell (4),Middle Missouri,Initial,1124,176,1036,1212,826,914,738,Johnson,,,
Thomas Riggs (1),Middle Missouri,Extended,1505,90,1460,1550,445,490,400,Johnson,,,
Thomas Riggs (3),Middle Missouri,Extended,1505,90,1460,1550,445,490,400,Johnson,,,
Cannonball (1),Middle Missouri,Extended,1326,74,1289,1362,624,661,588,Johnson,,,
Cannonball (7),Middle Missouri,Extended,1326,74,1289,1362,624,661,588,Johnson,,,
Bendish (3),Middle Missouri,Extended,1284,258,1155,1412,666,795,538,Johnson,,,
Fire Heart Creek (33),Middle Missouri,Extended,1299,226,1186,1412,651,764,538,Johnson,,,
Huff (1),Middle Missouri,Terminal,1464,66,1431,1496,486,519,454,Johnson,,,
Shermer (4),Middle Missouri,Terminal,1352,130,1287,1416,598,663,534,Johnson,,,
Black Partizan (11),Coalescent,Initial,1400,200,1300,1500,550,650,450,Johnson,,,
Arzberger (3),Coalescent,Initial,1527,188,1433,1620,423,517,330,Johnson,,,
Crow Creek (1),Coalescent,Initial,1360,126,1297,1423,590,653,527,Johnson,,,
Crow Creek (3),Coalescent,Initial,1360,126,1297,1423,590,653,527,Johnson,,,
Talking Crow (1),Coalescent,Initial,1400,200,1300,1500,550,650,450,Johnson,,,
Talking Crow (8),Coalescent,Initial,1400,200,1300,1500,550,650,450,Johnson,,,
Demery (2),Coalescent,Extended,1417,50,1392,1442,533,558,508,Johnson,,,
Over's La Roche (3B),Coalescent,Extended,1567,164,1485,1649,383,465,301,Johnson,,,
Molstad (7),Coalescent,Extended,1543,190,1448,1638,407,502,312,Johnson,,,
Big Village (1),Coalescent,Post-Contact,1810,70,1775,1845,140,175,105,O'Shea and Ludwickson,,,
Big Village (2),Coalescent,Post-Contact,1810,70,1775,1845,140,175,105,O'Shea and Ludwickson,,,
Like A Fishhook (18),Coalescent,Post-Contact,1858,56,1830,1886,92,120,64,Smith,,,
Like A Fishhook (5),Coalescent,post-Contact,1858,56,1830,1886,92,120,64,Smith,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,